man of vrouw,lengte,schoenmaat
vrouw,160.0,40
vrouw,171.0,39
vrouw,174.0,39
vrouw,176.0,40
man,195.0,46
vrouw,157.0,37
vrouw,160.0,38
vrouw,178.0,39
vrouw,168.0,38
man,171.0,41
vrouw,165.0,39
man,175.0,44
vrouw,163.0,38
vrouw,158.0,37
vrouw,159.0,38
man,183.0,44
vrouw,155.0,37
vrouw,172.0,39
vrouw,164.0,39
vrouw,158.0,35
vrouw,174.0,37
vrouw,164.0,37
vrouw,168.0,38
vrouw,168.0,38
vrouw,163.0,37
vrouw,160.0,37
man,183.0,46
vrouw,161.0,38
vrouw,162.0,36
vrouw,165.0,37
vrouw,164.0,36
vrouw,161.0,37
vrouw,163.0,39
vrouw,169.0,40
vrouw,171.0,39
vrouw,163.0,38
vrouw,159.0,36
vrouw,180.0,42
vrouw,168.0,38
vrouw,170.0,38
vrouw,168.0,38
man,180.0,42
man,183.0,44
vrouw,170.0,40